indicator_id,indicator_name,avg_score,video_id,score,reason
D001-I002,Setup (铺垫与信任),5.99,7560476177228988435,6,真实上门安装场景，清晰呈现家庭装KTV的痛点
D001-I002,Setup (铺垫与信任),5.99,7552688222016684071,6,点明有电视即可安装，降低用户心理门槛
D001-I002,Setup (铺垫与信任),5.99,7560103525498896393,6,展示安装过程，解决用户怕安装复杂的痛点
D001-I002,Setup (铺垫与信任),5.99,7570718436512120868,6,锚定高端设备高预期，铺垫用户怕贵怕复杂的痛点
D001-I002,Setup (铺垫与信任),5.99,7559000042486005796,6,点明旧点歌机落后痛点，自然引出新品替代方案
D001-I002,Setup (铺垫与信任),5.99,7568644679476002854,6,明确电视闲置痛点，展示核心功能，铺垫自然
D001-I002,Setup (铺垫与信任),5.99,7556771272036237375,6,演示安装、功能，打消用户顾虑建立信任。
D001-I002,Setup (铺垫与信任),5.99,7568274748870983689,6,4-15秒明确产品功能，戳中家庭娱乐需求痛点
D001-I002,Setup (铺垫与信任),5.99,7568274604407570459,6,点明传统设备痛点，引出新一体机价值，铺垫顺畅。
D001-I002,Setup (铺垫与信任),5.99,7569598928741662774,6,明确传统K歌设备痛点，展示安装简单易操作
D001-I002,Setup (铺垫与信任),5.99,7560103549079224330,6,清晰展示产品核心功能，建立用户对产品的基础信任。
D001-I002,Setup (铺垫与信任),5.99,7569598921535143942,6,真实上门安装场景，点出用户价高难装的痛点
D001-I002,Setup (铺垫与信任),5.99,7566797565342269481,6,点出KTV消费高的痛点，厂家清仓人设可信度高。
D001-I002,Setup (铺垫与信任),5.99,7564180851987496969,6,演示安装及功能过程真实，戳中家庭娱乐需求痛点
D001-I002,Setup (铺垫与信任),5.99,7569598932432502825,6,演示安装步骤，打消用户怕复杂的顾虑
D001-I002,Setup (铺垫与信任),5.99,7571089065883238443,6,点明家庭K歌观影需求，场景真实易共鸣
D001-I002,Setup (铺垫与信任),5.99,7571316996928323603,6,展示居家娱乐场景，戳中用户K歌观影需求痛点
D001-I002,Setup (铺垫与信任),5.99,7572709476526932006,6,铺垫价格战与16年工厂身份，建立用户信任
D001-I002,Setup (铺垫与信任),5.99,7577407007731875850,6,点明传统设备痛点，介绍产品核心功能，铺垫自然。
D001-I002,Setup (铺垫与信任),5.99,7571344531418284095,6,展示多使用场景，戳中家庭娱乐需求痛点。
D001-I002,Setup (铺垫与信任),5.99,7577407079296794633,6,展示安装便捷功能多样，铺垫用户需求场景
D001-I002,Setup (铺垫与信任),5.99,7572390854616432682,6,明确家庭K歌用户老旧设备痛点，用户共鸣强
D001-I002,Setup (铺垫与信任),5.99,7574947956417544219,6,多场景铺垫，戳中用户家庭K歌的需求痛点。
D001-I002,Setup (铺垫与信任),5.99,7571316993975189523,6,铺垫过往促销错过遗憾，展示产品功能建立信任
D001-I002,Setup (铺垫与信任),5.99,7577162570910629929,6,点明传统点歌机痛点，铺垫产品价值逻辑通顺
D001-I002,Setup (铺垫与信任),5.99,7578658954785620011,6,清晰点明传统设备痛点，引出产品核心价值。
D001-I002,Setup (铺垫与信任),5.99,7574230190214873097,6,展示连接与点歌功能，清晰铺垫建立信任。
D001-I002,Setup (铺垫与信任),5.99,7578286129389305894,6,清晰展示家庭娱乐场景，戳中用户K歌娱乐的需求痛点
D001-I002,Setup (铺垫与信任),5.99,7572390854465273919,6,点明传统设备痛点，引出新一体机优势，铺垫合理。
D001-I002,Setup (铺垫与信任),5.99,7572709539665969162,6,演示安装简单，打消用户怕复杂的顾虑。
D001-I002,Setup (铺垫与信任),5.99,7579406891019091977,6,展示安装过程，场景真实，铺垫产品易用性
