indicator_id,indicator_name,avg_score,video_id,score,reason
D001-I001,Hook (0-3秒),5.9,7560476177228988435,6,开头直接抛出高端影音设备价格问题，快速抓注意力
D001-I001,Hook (0-3秒),5.9,7552688222016684071,6,开头直接抛出家庭KTV安装疑问，吸引目标用户
D001-I001,Hook (0-3秒),5.9,7560103525498896393,6,0秒抛出功能+价格疑问，快速抓取用户注意力
D001-I001,Hook (0-3秒),5.9,7559000042486005796,7,首帧即打出不要花冤枉钱买旧设备的核心利益点
D001-I001,Hook (0-3秒),5.9,7556771272036237375,6,开头3秒抛出价格疑问，直击用户好奇心。
D001-I001,Hook (0-3秒),5.9,7568274604407570459,7,开篇否定传统K歌设备，瞬间抓住目标用户注意力。
D001-I001,Hook (0-3秒),5.9,7569598928741662774,7,开篇否定传统点歌机，快速引发用户好奇心
D001-I001,Hook (0-3秒),5.9,7560103549079224330,7,首秒直接否定传统K歌设备，直击用户痛点，停留欲望强。
D001-I001,Hook (0-3秒),5.9,7569598921535143942,7,首秒抛出价格问题，立刻激发用户好奇心
D001-I001,Hook (0-3秒),5.9,7566797565342269481,7,开头1秒抛出降价+员工阻拦冲突，直击利益点。
D001-I001,Hook (0-3秒),5.9,7564180851987496969,6,开头直接抛出设备价格问题，快速吸引用户停留
D001-I001,Hook (0-3秒),5.9,7569598932432502825,6,0秒抛出价格问题，快速抓住用户好奇心
D001-I001,Hook (0-3秒),5.9,7572709476526932006,7,0-1秒抛出价格对比，直接抓住用户注意力
D001-I001,Hook (0-3秒),5.9,7577407007731875850,6,开头否定传统K歌设备，快速引发用户好奇心。
D001-I001,Hook (0-3秒),5.9,7572390854616432682,6,开头直接否定传统K歌设备，快速抓取用户注意力
D001-I001,Hook (0-3秒),5.9,7571316993975189523,6,开头3秒抛出大促优惠钩子，有效吸引用户停留
D001-I001,Hook (0-3秒),5.9,7578658954785620011,6,开头直接否定传统点歌机，快速制造认知冲突。
D001-I001,Hook (0-3秒),5.9,7578286129389305894,6,3秒内用错过往期促销的痛点快速抓住用户注意力
D001-I001,Hook (0-3秒),5.9,7572390854465273919,6,开头3秒内否定传统K歌设备，冲突清晰抓眼。
D001-I001,Hook (0-3秒),5.9,7572709539665969162,7,开头直接抛出设备价格问题，抓住用户好奇心。
D001-I001,Hook (0-3秒),5.9,7578901831852671019,6,开头3秒否定传统点歌机，直击用户痛点
D001-I001,Hook (0-3秒),5.9,7579406989202374666,6,开头3秒抛出音响价格问题，精准吸引目标用户。
D001-I001,Hook (0-3秒),5.9,7581483019275649030,6,开头即抛出电视闲置浪费的冲突，快速吸引用户停留。
D001-I001,Hook (0-3秒),5.9,7580189575614218249,6,3秒内点明产品及“价格贵”的冲突点
D001-I001,Hook (0-3秒),5.9,7580391039212011561,6,开头抛出家庭装KTV价格问题，精准抓取用户需求
D001-I001,Hook (0-3秒),5.9,7580189563341979674,6,开头3秒内否定传统K歌设备，冲突明确吸引停留
D001-I001,Hook (0-3秒),5.9,7584289914902167595,6,开头3秒抛出把KTV搬回家的核心利益点
D001-I001,Hook (0-3秒),5.9,7582979285365293097,6,3秒内明确抛出家用K歌的核心利益，吸引用户停留
D001-I001,Hook (0-3秒),5.9,7582349825220870170,6,开篇直接询问设备价格，精准戳中用户好奇心。
D001-I001,Hook (0-3秒),5.9,7584464119644569654,6,开头3秒抛出价格问题，直接戳中用户需求
D001-I001,Hook (0-3秒),5.9,7579408877080477705,6,开头3秒内通过字幕明确告知产品核心价值
D001-I001,Hook (0-3秒),5.9,7582349749170716682,6,开头3秒内抛出设备价格问题，直击用户需求
D001-I001,Hook (0-3秒),5.9,7586825993240674346,7,开头1秒抛出电视闲置浪费痛点，快速吸引用户停留。
D001-I001,Hook (0-3秒),5.9,7588889616480993343,6,开头直接否定传统设备，快速抓取用户注意力。
D001-I001,Hook (0-3秒),5.9,7589277317837176886,6,开头直接否定传统点歌机，快速抓住用户注意力。
D001-I001,Hook (0-3秒),5.9,7591478547874480170,6,开篇否定传统点歌功放，冲突明确，吸引停留。
D001-I001,Hook (0-3秒),5.9,7590171967215992895,7,开头直接抛出高性价比影音设备的核心利益点
D001-I001,Hook (0-3秒),5.9,7591281056402587686,6,开头直接否定传统点歌机，3秒内抛出核心冲突
D001-I001,Hook (0-3秒),5.9,7589969146219397126,6,开头3秒抛出错过往期大促的冲突，吸引停留
D001-I001,Hook (0-3秒),5.9,7589969137973493786,6,0秒即出价格疑问大字报，3秒内点明核心主题。
D001-I001,Hook (0-3秒),5.9,7588490329344458806,6,开头3秒抛出功能+价格问题，击中用户需求
D001-I001,Hook (0-3秒),5.9,7590726611370934318,7,0秒即展示产品核心升级利益，吸引目标用户停留
D001-I001,Hook (0-3秒),5.9,7592196219902820358,7,开头直接亮出价格战，瞬间抓住用户注意力
D001-I001,Hook (0-3秒),5.9,7592196227359490091,6,开头抛出高价值场景价格问题，快速抓用户注意力
D001-I001,Hook (0-3秒),5.9,7592196202738384905,7,0秒即抛出传统K歌设备落后的冲突，快速抓注意力
D001-I001,Hook (0-3秒),5.9,7592214438725091338,6,开头点明传统K歌设备落后，快速抓住用户注意力
D001-I001,Hook (0-3秒),5.9,7592795926180495398,6,首帧点明传统K歌设备落后，快速抓住用户注意力。
D001-I001,Hook (0-3秒),5.9,7592962280485715978,6,开头直接否定传统点歌机功放，冲突明确。
D001-I001,Hook (0-3秒),5.9,7592938859203821619,6,开头即指出传统点歌机落后，快速抓目标用户注意力。
D001-I001,Hook (0-3秒),5.9,7593311230407000083,6,开头直接否定传统点歌机，直击用户痛点，吸引力强。
D001-I001,Hook (0-3秒),5.9,7593701461055193138,6,开头直击电视闲置痛点，利益承诺清晰明确。
D001-I001,Hook (0-3秒),5.9,7593701454746779686,6,开头即点明老设备落后，冲突明确吸引停留
D001-I001,Hook (0-3秒),5.9,7593311252995670079,7,首帧即抛出“把KTV搬回家”核心利益，抓注意力。
D001-I001,Hook (0-3秒),5.9,7593320204084903979,6,开头大字报直接否定旧方案，快速吸引目标用户停留。
D001-I001,Hook (0-3秒),5.9,7593701482995859502,6,0秒即抛出闲置电视改造利益点，停留意愿强
D001-I001,Hook (0-3秒),5.9,7594074187410735131,6,开头3秒内抛出闲置电视改造的核心利益点
D001-I001,Hook (0-3秒),5.9,7594074207699353609,6,开篇抛设备价格问题，快速吸引有需求用户停留
D001-I001,Hook (0-3秒),5.9,7594075236742627382,7,0秒抛出反常识结论，直接戳中K歌用户痛点
D001-I001,Hook (0-3秒),5.9,7594278206615519259,6,开头直接否定传统点歌机，冲突感强抓注意力。
D001-I001,Hook (0-3秒),5.9,7594075263437717545,6,开头3秒抛出设备价格疑问，快速吸引用户停留。
D001-I001,Hook (0-3秒),5.9,7594278219168530441,6,开头3秒点出闲置电视痛点，给出解决方案方向
D001-I001,Hook (0-3秒),5.9,7594076223427428358,6,开头3秒直击电视闲置痛点，给出解决方案
D001-I001,Hook (0-3秒),5.9,7595161102398668819,6,开头3秒点出闲置电视改造的核心利益点
D001-I001,Hook (0-3秒),5.9,7595161142652256291,6,开头3秒抛出设备价格问题，吸引目标用户停留
D001-I001,Hook (0-3秒),5.9,7595161111016669227,6,0-3秒点明闲置电视的解决方案，直击用户需求
D001-I001,Hook (0-3秒),5.9,7595161086967726086,7,开头直接否定传统点歌机，瞬间戳中用户痛点
D001-I001,Hook (0-3秒),5.9,7595189897502507050,6,0-3秒否定传统点歌机，直接抛出核心冲突。
D001-I001,Hook (0-3秒),5.9,7595542379304648746,7,开篇即打价格大字，直击价格敏感用户需求
D001-I001,Hook (0-3秒),5.9,7595580740723228681,6,开头3秒直接点出闲置电视的改造利益点
D001-I001,Hook (0-3秒),5.9,7595542396417540102,6,开头直接点明别用落后的点歌机功放，冲突强。
D001-I001,Hook (0-3秒),5.9,7595581212347121700,6,开头直接否定传统点歌机，快速抓住用户注意力
